category,name_en,name_ko,price,ingredients,notes
RICE,Crab and Shrimp Pilaf,통새우 게살 필라프,23.0,"통새우, 게살, 밥, 계란후라이, 당근, 쥬키니, 양파, 새싹채소, 비스큐, 참기름",
RICE,Bulgogi Pilaf,불고기 필라프,23.0,"당근, 쥬키니, 양파, 간장소스, 우목심, 버섯, 밥, 계란후라이, 참기름, 깨",
RICE,Bacon Kimchi Fried Rice with Fried Chicken,베이컨 김치볶음밥과 닭튀김,22.0,"김치, 돈민찌, 당근, 쥬키니, 양파, 참기름, 베이컨, 계란후라이, 닭다리살",
SALAD,Chicken Cobb Salad,치킨 콥 샐러드,21.0,"랜치드레싱, 닭가슴살, 후레쉬 모짜렐라 치즈, 메추리알, 그라노파다노, 발사믹 크림, 콘 옥수수, 블랙올리브, 토마토, 아보카도",
SALAD,Burrata Cheese Salad,부라타치즈 샐러드,21.0,"유자드레싱, 부라타치즈, 사과조림, 대추방울토마토, 견과류, 새싹채소",
STEAK,Hamburg Steak and Salad,함박스테이크와 샐러드,23.5,"쇠고기, 돼지고기, 데미그라스 소스, 감자, 계란후라이, 밥, 샐러드, 그라노파다노, 발사믹 크림, 유자드레싱",
SNACKS,Bulgogi Royal Soy Tteokbokki,궁중 떡볶이,22.0,"궁중소스, 밀떡, 우목심, 버섯, 모듬야채, 당면",
SNACKS,Spicy Tteokbokki with Assorted Fries,국물 떡볶이와 분식튀김,22.0,"고추장소스, 밀떡, 모듬튀김, 모듬야채, 메추리알, 당면, 소세지, 어묵",
SNACKS,Seafood Spicy Tteokbokki,해물 떡볶이,22.0,"고추장소스, 밀떡, 조개, 오징어링, 통새우, 가리비, 모듬야채",
SNACKS,Original Crispy Chicken,오리지날 크리스피 치킨,23.0,"닭다리살, 레몬, 머스타드 소스",
SNACKS,Home-made Fried Chicken & French Fries,수제치킨과 감자튀김,22.0,"닭다리살, 감자튀김, 허니 소스, 그라노파다노",
SNACKS,Honey Truffle French Fries,허니 트러플 감자튀김,22.0,"허니 버터 소스, 트러플 오일, 감자, 벌집 감자 레귤러컷",
PIZZA,Okonomiyaki Pizza,오꼬노미야끼 피자,25.0,"문어, 가쓰오부시, 야끼소바소스, 베이컨, 새우, 계란후라이, 토마토 소스, 모짜렐라 치즈",
PIZZA,Arugula Caprese Pizza,루꼴라 카프리제 피자,24.5,"모짜렐라 치즈, 바질, 토마토 소스, 대추 방울 토마토, 루꼴라, 발사믹 크림",
PASTA,Beef Cream Pasta,만조 파스타,25.0,"살치살, 고르곤치즈, 리가토니면, 크림소스, 버섯, 쥬키니, 아몬드, 가지",
PASTA,Aglio e Olio Pasta,마늘 오일 파스타,22.5,"마늘, 페퍼론치노, 스파게티니, 마늘콩피, 루꼴라, 그라노파다노, 마늘칩",
PASTA,Bacon Tomato Pasta,베이컨 토마토 파스타,23.0,"베이컨, 토마토, 토마토소스, 양파, 간마늘, 새싹채소, 그라노파다노, 스파게티니",
PASTA,Amatriciana,아마트리치아나,23.0,"베이컨, 페파로니, 소세지, 토마토소스, 페페론치노, 스파게티니",
PASTA,Shrimp Basil Cream Pasta,쉬림프 바질크림 파스타,23.0,"바질페스토, 크림소스, 새우, 그라나파다노, 스파게티니, 스위트 콘",
PASTA,Seafood Pasta with Tomato Sauce,해산물 토마토 파스타,24.0,"토마토 소스, 스파게티니, 조개, 오징어링, 왕새우, 가리비",
PASTA,Gamberi Rose Sauce with Flying Fish Roe Pasta,왕새우 로제 파스타,24.0,"로제소스, 스파게티니, 왕새우, 조개, 대추 방울 토마토, 쥬키니",
PASTA,Truffle Mushroom Pasta,트러플 머쉬룸 파스타,24.0,,
